// Mob Skill Database
// Based on Aegis Episode 11.3
//
// Structure of Database:
// MobID,Dummy value (info only),State,SkillID,SkillLv,Rate,CastTime,Delay,Cancelable,Target,Condition type,Condition value,val1,val2,val3,val4,val5,Emotion,Chat
//
// RATE: the chance of the skill being casted when the condition is fulfilled (10000 = 100%).
// DELAY: the time (in milliseconds) before attempting to recast the same skill.
//
// STATE:
//	any (except dead) / idle (in standby) / walk (in movement) / dead (on killed) /
//	loot /attack / angry (like attack, except player has not attacked mob yet) /
//	chase (following target, after being attacked) / follow (following target,
//	without being attacked) / anytarget (attack+angry+chase+follow)
//
// TARGET:
//	target (current target) / self / friend / master / randomtarget (any enemy within skill's range)
//
//	The following are for ground-skills, a random target tile is selected from the specified area:
//	    around1 (3x3 area around self) / around2 (5x5 area around self) /
//	    around3 (7x7 area around self) / around4 (9x9 area around self) /
//	    around5 (3x3 area around target) / around6 (5x5 area around target) /
//	    around7 (7x7 area around target) / around8 (9x9 area around target) /
//	    around = around4
//
// CONDITION:
//	always			Unconditional (no condition value).
//	onspawn			When mob spawns/respawns (no condition value).
//	myhpltmaxrate		When mob's HP drops to the specified %.
//	myhpinrate		When mob's HP is in a certain % range (condition value = lower bound, val1 = upper bound).
//	mystatuson		If mob has the specified abnormality in status.
//	mystatusoff		If mob has ended the specified abnormality in status.
//	friendhpltmaxrate	When mob's friend's HP drops to the specified %.
//	friendhpinrate		When mob's friend's HP is in a certain % range (condition value = lower bound, val1 = upper bound).
//	friendstatuson		If friend has the specified abnormality in status.
//	friendstatusoff		If friend has ended the specified abnormality in status.
//	attackpcgt		When attack PCs become greater than specified number.
//	attackpcge		When attack PCs become greater than or equal to the specified number.
//	slavelt			When number of slaves is less than the original specified number.
//	slavele			When number of slaves is less than or equal to the original specified number.
//	closedattacked		When close range melee attacked (no condition value).
//	longrangeattacked	When long range attacked, ex. bows, guns, ranged skills (no condition value).
//	skillused		When the specified skill is used on the mob.
//	afterskill		After mob casts the specified skill.
//	casttargeted		When a target is in cast range (no condition value).
//	rudeattacked		When mob is rude attacked (no condition value).
//
//	Status abnormalities specified through the statuson/statusoff system:
//	    anybad (any type of state change) / stone / freeze / stun / sleep /
//	    poison / curse / silence / confusion / blind / hiding / sight (unhidden)
//
// Note: if a negative MobID is provided, the skill will be treated as 'global':
//	-1: added for all boss types.
//	-2: added for all normal types.
//	-3: added for all mobs.

// MobID,Dummy value (info only),State,SkillID,SkillLv,Rate,CastTime,Delay,Cancelable,Target,Condition type,Condition value,val1,val2,val3,val4,val5,Emotion,Chat

2367,MagicDecoyFire@MG_FIREBOLT,attack,11,5,2000,1000,5000,yes,target,always,0,,,,,,,
2368,MagicDecoyWater@MG_COLDBOLT,attack,156,5,2000,1000,5000,yes,target,always,0,,,,,,,
2369,MagicDecoyWind@MG_LIGHTNINGBOLT,attack,800,5,2000,1000,5000,yes,target,always,0,,,,,,,
2370,MagicDecoyEarth@WZ_EARTHSPIKE,attack,365,5,2000,1000,5000,yes,target,always,0,,,,,,,
2043,MagicDecoyFire@MG_FIREBOLT,attack,19,5,2000,1000,5000,yes,target,always,0,,,,,,,
2044,MagicDecoyWater@MG_COLDBOLT,attack,14,5,2000,1000,5000,yes,target,always,0,,,,,,,
2046,MagicDecoyWind@MG_LIGHTNINGBOLT,attack,20,5,2000,1000,5000,yes,target,always,0,,,,,,,
2045,MagicDecoyEarth@WZ_EARTHSPIKE,attack,90,5,2000,1000,5000,yes,target,always,0,,,,,,,
1001,Scorpion@NPC_FIREATTACK,attack,186,1,2000,0,5000,yes,target,always,0,,,,,,,
1001,Scorpion@NPC_POISON,attack,176,3,500,800,5000,no,target,always,0,,,,,,,
1002,Poring@NPC_EMOTION,loot,197,1,2000,0,5000,yes,self,always,0,2,,,,,,
1002,Poring@NPC_WATERATTACK,attack,184,1,2000,0,5000,yes,target,always,0,,,,,,,
1004,Hornet@NPC_PIERCINGATT,attack,158,2,500,0,5000,yes,target,always,0,,,,,,6,
1004,Hornet@NPC_WINDATTACK,attack,187,1,2000,0,5000,yes,target,always,0,,,,,,,
//1063,Lunatic@NPC_RUN,attack,354,1,10000,0,3000,no,self,always,0,,0x81,,,,26,
//1063,Lunatic@NPC_RUN,chase,354,1,10000,0,3000,no,self,always,0,,0x81,,,,26,
1007,Fabre@NPC_GROUNDATTACK,attack,185,1,2000,0,5000,yes,target,always,0,,,,,,,
1007,Fabre@NPC_METAMORPHOSIS,idle,193,1,10,2000,5000,no,self,always,0,1008,,,,,,
1008,Pupa@NPC_EMOTION,idle,197,1,2000,0,5000,yes,self,always,0,19,,,,,,
1008,Pupa@NPC_METAMORPHOSIS,idle,193,1,10,2000,5000,no,self,always,0,1018,,,,,,
1009,Condor@BS_ADRENALINE,attack,111,1,500,1500,300000,yes,self,always,0,,,,,,,
1009,Condor@NPC_EMOTION,idle,197,1,2000,0,5000,yes,self,always,0,5,,,,,,
1009,Condor@NPC_WINDATTACK,attack,187,3,500,500,5000,no,target,always,0,,,,,,6,
1010,Willow@NPC_GROUNDATTACK,attack,185,1,2000,0,5000,yes,target,always,0,,,,,,,
